County_ID,County_Name,Dist_ID,District_Name,School_ID,School_Name,PRGCODE,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,Row_Total,Free_Lunch,Reduced_Price_Lunch,English_Learners,Migrant
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,035,E.H. Slaybaugh E.S.,02,82,68,4,10,7,8,15,12,0,0,0,0,3,8,217,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,035,E.H. Slaybaugh E.S.,03,88,83,6,6,11,12,18,12,0,0,0,0,2,5,243,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,035,E.H. Slaybaugh E.S.,UG,11,4,7,2,3,3,0,0,0,0,0,0,1,0,31,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,035,E.H. Slaybaugh E.S.,55,327,299,28,27,60,40,59,61,0,0,1,0,26,20,948,195,56,18,0
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,038,Alder Avenue Middle School,06,67,73,16,8,23,25,18,21,0,1,0,0,2,11,265,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,038,Alder Avenue Middle School,07,67,70,13,16,35,24,17,23,0,0,0,0,6,6,277,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,038,Alder Avenue Middle School,08,75,88,13,7,34,28,16,16,0,0,0,0,6,9,292,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,038,Alder Avenue Middle School,UG,8,2,6,1,9,1,5,1,0,0,0,0,1,1,35,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,038,Alder Avenue Middle School,55,217,233,48,32,101,78,56,61,0,1,0,0,15,27,869,230,96,9,0
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,039,Fernwood Middle School,06,72,75,14,17,23,31,20,30,1,1,0,0,6,8,298,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,039,Fernwood Middle School,07,78,65,21,14,36,33,21,18,0,0,0,0,5,14,305,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,039,Fernwood Middle School,08,100,72,16,7,39,37,23,19,0,0,0,0,13,10,336,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,039,Fernwood Middle School,UG,0,4,5,5,1,3,0,0,0,0,0,0,3,0,21,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,039,Fernwood Middle School,55,250,216,56,43,99,104,64,67,1,1,0,0,27,32,960,274,95,17,0
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,045,Dr. Joy Miller Elementary School,04,153,134,32,33,67,59,52,41,0,0,1,0,11,13,596,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,045,Dr. Joy Miller Elementary School,05,126,139,36,41,49,66,57,39,0,0,0,0,9,10,572,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,045,Dr. Joy Miller Elementary School,UG,9,2,5,2,6,4,0,0,0,0,0,0,1,0,29,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,045,Dr. Joy Miller Elementary School,55,288,275,73,76,122,129,109,80,0,0,1,0,21,23,1197,363,108,15,0
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,050,H. Russell Swift E.S.,PH,12,5,1,0,2,2,3,0,0,0,1,1,0,1,28,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,050,H. Russell Swift E.S.,KH,30,27,5,1,11,6,5,5,0,0,0,0,5,3,98,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,050,H. Russell Swift E.S.,01,23,36,5,4,7,11,4,3,0,0,0,0,1,3,97,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,050,H. Russell Swift E.S.,02,30,37,2,7,11,9,9,14,0,0,0,0,3,3,125,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,050,H. Russell Swift E.S.,03,23,20,11,5,12,12,6,6,0,0,0,0,3,6,104,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,050,H. Russell Swift E.S.,UG,5,2,3,0,3,2,1,2,0,0,0,0,1,0,19,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,050,H. Russell Swift E.S.,55,126,132,27,17,46,42,28,30,0,0,1,1,13,16,479,94,31,32,0
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,PH,36,29,3,0,9,8,16,8,0,0,1,1,3,4,118,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,KF,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,KH,110,112,19,11,53,38,29,38,0,0,0,0,16,13,439,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,01,135,147,21,14,59,49,37,38,1,0,2,0,14,9,526,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,02,151,132,15,26,48,47,41,48,0,0,0,0,11,16,535,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,03,150,141,30,21,57,57,42,32,0,1,0,0,13,19,563,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,04,153,134,32,33,67,59,52,41,0,0,1,0,11,13,596,,,,
