County Code,County Name,District Code,District Name,Total Enrollment,White,%White,Black,%Black,Hispanic,%Hispanic,Asian,%Asian,Native American,%Native American,Hawaiian Native,%Hawaiian Native,Two or More Races,%Two or More Races,Pre-K Halfday,Pre-K FullDay,Kindergarten Halfday,Kindergarten Fullday,First Grade,Second Grade,Third Grade,Fourth Grade,Fifth Grade,Sixth Grade,Seventh Grade,Eighth Grade,Ninth Grade,Tenth Grade,Eleventh Grade,Twelfth Grade,Ungraded,%Free Lunch,%Reduced Lunch,%English Learners,%Migrant,%Military,%Homeless
03,Bergen,1370,Englewood City,2986.5,306,10.2,836,28,1548.5,51.8,239,8,12,0.4,12,0.4,33,1.1,0,232,0,198,173,159,169,193,171,191,194,175,269.5,231.5,262,268.5,100,58.6,8.4,9.8,0,0.3,0.8
03,Bergen,1380,Englewood Cliffs Boro,483,158,32.7,12,2.5,29,6,269,55.7,0,0,1,0.2,14,2.9,0,30,0,47,35,53,47,47,59,52,50,63,0,0,0,0,0,0,0,4.6,0,0,0
03,Bergen,1450,Fair Lawn Public Schools,5216,3122,59.9,136,2.6,976,18.7,807,15.5,22,0.4,30,0.6,123,2.4,13,0,0,346,406,395,379,402,368,394,394,372,372,356.5,360.5,362,296,8.2,2.4,4.5,0,0.6,1
03,Bergen,1470,Fairview Boro,1536,176,11.5,13,0.8,1329,86.5,17,1.1,0,0,0,0,1,0.1,69,4,0,153,185,173,162,158,145,127,160,141,0,0,0,0,59,63.8,7.7,19.5,0,0,3.5
03,Bergen,1550,Fort Lee Boro,4142,1154,27.9,162,3.9,812,19.6,1934,46.7,4,0.1,9,0.2,67,1.6,10,7,0,337,336,333,325,347,305,325,315,293,279,316,246,227,141,12.2,4.3,10.2,0,0,0.2
03,Bergen,1580,Franklin Lakes Boro,1150,941,81.8,20,1.7,61,5.3,103,9,2,0.2,2,0.2,21,1.8,6,41,0,102,119,111,104,114,124,120,144,129,0,0,0,0,36,2,0,1,0,0.2,0.2
03,Bergen,1700,Garfield City,4933,1907.5,38.7,389.5,7.9,2541,51.5,49,1,3,0.1,10,0.2,33,0.7,0,647,0,366,352,298,287,293,294,305,308,314,280,228,253.5,243.5,464,49.3,12,6.6,0,0.3,0.7
03,Bergen,1760,Glen Rock Boro,2528.5,1878.5,74.3,23,0.9,113,4.5,431,17,2,0.1,2,0.1,79,3.1,5,0,0,196,176,201,209,192,217,213,190,190,168.5,168.5,208,161,33.5,0.5,0.2,1.6,0,0,0
03,Bergen,1860,Hackensack City,5639.5,527.5,9.4,1191.5,21.1,3533.5,62.7,307,5.4,10,0.2,16,0.3,54,1,8,138,0,320,339,333,323,365,384,381,390,336,448,492.5,436.5,483.5,462,50.5,10.4,10.4,0,0.2,1.2
03,Bergen,2050,Harrington Park Boro,596,358,60.1,3,0.5,28,4.7,159,26.7,0,0,2,0.3,46,7.7,0,15,0,51,55,69,55,85,59,74,54,76,0,0,0,0,3,0,0,2,0,0.7,0
03,Bergen,2080,Hasbrouck Heights Boro,1757,968,55.1,52,3,499,28.4,217,12.4,1,0.1,1,0.1,19,1.1,0,2,0,114,122,109,114,120,128,144,149,167,140,134,139,139,36,12.5,3.6,1.1,0,0,0
03,Bergen,2090,Haworth Boro,387,284,73.4,4,1,20,5.2,41,10.6,0,0,0,0,38,9.8,0,0,0,38,31,49,28,41,53,46,51,48,0,0,0,0,2,0,0,1.3,0,0,0
03,Bergen,2180,Hillsdale Boro,1109,811,73.1,10,0.9,162,14.6,91,8.2,1,0.1,4,0.4,30,2.7,25,0,0,108,110,99,121,116,119,123,129,138,0,0,0,0,21,5.5,1.9,2.2,0,0.6,0
03,Bergen,2200,Ho Ho Kus Boro,596,486,81.5,7,1.2,44,7.4,53,8.9,1,0.2,0,0,5,0.8,8,0,0,61,58,69,64,51,63,80,75,67,0,0,0,0,0,0,0,0.5,0,0,0
03,Bergen,2620,Leonia Boro,2033.5,553.5,27.2,79,3.9,478,23.5,817,40.2,5,0.2,5,0.2,96,4.7,0,39,0,104,107,121,107,108,111,98,209,195,195,209,180,163,87.5,11.2,3.8,5,0,0,0
03,Bergen,2710,Little Ferry Boro,864,244,28.2,36,4.2,387,44.8,164,19,1,0.1,17,2,15,1.7,28,1,0,80,73,91,70,85,87,96,90,104,0,0,0,0,59,24.9,5.2,4.2,0,0.1,0.2
03,Bergen,2740,Lodi Borough,3010.5,754.5,25.1,257.5,8.6,1741.5,57.8,196,6.5,4,0.1,19,0.6,38,1.3,119,0,0,208,219,208,184,215,215,221,235,252,209.5,225,211.5,209.5,79,39.5,13.7,5.2,0,0,0.2
03,Bergen,2860,Lyndhurst Twp,2553.5,1454,56.9,86,3.4,881.5,34.5,53,2.1,0,0,2,0.1,77,3,48,0,0,202,165,155,167,205,174,205,179,194,200,188,189.5,196,86,20.1,4.2,1.9,0,0,0
03,Bergen,2900,Mahwah Twp,2847,1895,66.6,77,2.7,295,10.4,413,14.5,18,0.6,1,0,148,5.2,56,0,0,183,182,180,208,193,201,234,231,240,198,237,238,233,33,7.7,1.9,1.8,0,0.4,0
03,Bergen,3060,Maywood Boro,975,363,37.2,102,10.5,301,30.9,189,19.4,2,0.2,3,0.3,15,1.5,27,0,0,109,101,87,119,96,96,114,110,93,0,0,0,0,23,8.2,2.2,2.7,0,0,0
03,Bergen,3170,Midland Park Boro,886.5,694.5,78.3,3,0.3,139,15.7,24,2.7,2,0.2,1,0.1,23,2.6,5,11,0,66,72,72,64,72,59,74,57,54,47,69,70.5,64,30,3.6,1,1.4,0,0,0
03,Bergen,3330,Montvale Boro,988,630,63.8,15,1.5,92,9.3,214,21.7,0,0,0,0,37,3.7,19,0,0,85,101,102,99,101,119,117,112,119,0,0,0,0,14,1.8,0.6,1.6,0,0.3,0
03,Bergen,3350,Moonachie Boro,337,85,25.2,6,1.8,193,57.3,44,13.1,0,0,4,1.2,5,1.5,0,28,0,40,28,43,35,29,29,30,41,33,0,0,0,0,1,45.7,11.3,4.2,0,0,1.2
03,Bergen,3550,New Milford Boro,2012,883.5,43.9,120.5,6,546,27.1,297,14.8,0,0,111,5.5,54,2.7,0,10,0,144,164,143,129,144,155,145,149,145,135,156,120,152,121,11.2,5.2,2.7,0,0.3,0
03,Bergen,3600,North Arlington Boro,1848,999,54.1,28,1.5,715,38.7,80,4.3,2,0.1,5,0.3,19,1,0,10,0,139,131,117,134,144,158,142,151,151,112,130,144,115,70,19.5,4.1,4.3,0,0.9,0.1
03,Bergen,3700,Northern Highlands Reg,1399.5,1064.5,76.1,21,1.5,97,6.9,200,14.3,1,0.1,0,0,16,1.1,0,0,0,0,0,0,0,0,0,0,0,0,349,347.5,359,342,2,0.7,0.1,0.3,0,0,0
03,Bergen,3710,Northern Valley Regional,2260,1443,63.8,36,1.6,16,0.7,637,28.2,13,0.6,1,0,114,5,0,0,0,0,0,0,0,0,0,0,0,0,448,517,523,561,211,0.7,0.4,0.7,0,0,0
03,Bergen,3730,Northvale Boro,528,268,50.8,9,1.7,75,14.2,169,32,0,0,0,0,7,1.3,0,0,0,62,46,54,59,52,63,59,63,61,0,0,0,0,9,0.2,0,5.5,0,0,0
03,Bergen,3740,Norwood Boro,597,249,41.7,11,1.8,49,8.2,260,43.6,1,0.2,2,0.3,25,4.2,0,11,0,39,71,61,57,69,77,65,81,66,0,0,0,0,0,0,0,2.2,0,0,0
03,Bergen,3760,Oakland Boro,1329,1084,81.6,6,0.5,135,10.2,37,2.8,2,0.2,1,0.1,64,4.8,1,0,0,118,155,131,142,148,138,154,133,168,0,0,0,0,41,4.7,1.3,2,0,0.5,0.1
03,Bergen,3850,Old Tappan Boro,660,385,58.3,5,0.8,29,4.4,229,34.7,0,0,1,0.2,11,1.7,0,13,0,53,63,75,69,70,91,73,72,75,0,0,0,0,6,0,0,4.2,0,0,0
03,Bergen,3870,Oradell Boro,758,486,64.1,5,0.7,57,7.5,179,23.6,1,0.1,2,0.3,28,3.7,11,0,0,95,109,92,103,99,104,116,0,0,0,0,0,0,29,0.1,0,6.7,0,0.1,0
03,Bergen,3910,Palisades Park,1828,179,9.8,21,1.1,994,54.4,604,33,5,0.3,5,0.3,20,1.1,20,52,0,122,246,39,136,133,141,152,126,114,133,163,111,122,18,38.2,8.6,24.1,0.8,0.1,0.1
03,Bergen,3930,Paramus Boro,3721,1918,51.5,62,1.7,495,13.3,1139,30.6,5,0.1,8,0.2,94,2.5,41,48,0,199,238,236,232,288,263,284,282,283,279,323,277,283,165,5.6,1.2,3.3,0,0,0.1
03,Bergen,3940,Park Ridge Boro,1224,891,72.8,10,0.8,189,15.4,94,7.7,0,0,2,0.2,38,3.1,34,5,0,93,92,70,94,74,94,96,92,97,85,89,92,83,34,3.6,0.2,2,0,0,0.2
03,Bergen,3960,Pascack Valley Regional,1957,1533,78.3,25,1.3,178,9.1,196,10,2,0.1,2,0.1,21,1.1,0,0,0,0,0,0,0,0,0,0,0,0,453,499,495,471,39,1.7,0.5,0.7,0,0.2,0
03,Bergen,4300,Ramapo-Indian Hill Reg,2230.5,1904.5,85.4,25,1.1,131,5.9,110,4.9,1,0,4,0.2,55,2.5,0,0,0,0,0,0,0,0,0,0,0,0,527,567.5,576.5,521,38.5,1.4,0,0.5,0,0,0.1
03,Bergen,4310,Ramsey Boro,2671,2037,76.3,29,1.1,298,11.2,230,8.6,2,0.1,1,0,74,2.8,2,44,143,0,160,188,185,171,202,207,234,217,208,233,210,200,67,6,1.6,2.7,0,0.7,0.5
03,Bergen,4370,Ridgefield Boro,1658,489,29.5,46,2.8,709,42.8,391,23.6,3,0.2,3,0.2,17,1,2,25,0,98,109,106,86,103,97,130,127,132,83,104,113,99,244,24.1,6.8,7.8,0.1,0,0.2
03,Bergen,4380,Ridgefield Park Twp,2202.5,500,22.7,123,5.6,1335.5,60.6,218,9.9,2,0.1,16,0.7,8,0.4,13,1,0,118,107,132,126,133,151,144,158,157,213,211,190,225.5,123,29.5,9.1,6.6,0,0.1,0.1
03,Bergen,4390,Ridgewood Village,5710,3532,61.9,59,1,570,10,1126,19.7,3,0.1,4,0.1,416,7.3,0,53,0,387,381,405,403,417,441,426,465,451,438,473,433,438,99,1.2,0.7,1.9,0,0.7,0.1
03,Bergen,4405,River Dell Regional,1612,1020.5,63.3,16,1,176.5,10.9,356,22.1,0,0,0,0,43,2.7,0,0,0,0,0,0,0,0,0,0,290,256,269,254,267.5,259.5,16,0.9,0.1,1.2,0,0,0
03,Bergen,4410,River Edge Boro,1253,588,46.9,24,1.9,125,10,469,37.4,1,0.1,0,0,46,3.7,25,0,0,170,165,164,171,165,202,153,0,0,0,0,0,0,38,0,0.7,8,0,0,0
03,Bergen,4430,River Vale Twp,1091,869,79.7,12,1.1,43,3.9,150,13.7,1,0.1,1,0.1,15,1.4,7,6,0,109,90,113,124,100,117,137,147,122,0,0,0,0,19,0,0,1,0,0,0
03,Bergen,4470,Rochelle Park Twp,508,226,44.5,26,5.1,200,39.4,54,10.6,0,0,0,0,2,0.4,0,20,0,39,55,47,54,55,56,61,53,65,0,0,0,0,3,13.4,3.5,2.6,0,0,0.4
03,Bergen,4600,Rutherford Boro,2595,1384.5,53.4,61,2.4,581,22.4,419,16.1,6,0.2,4,0.2,139.5,5.4,55,0,0,205,167,181,196,186,183,195,213,208,191.5,174,172.5,182,86,3.3,0.8,0.9,0,0.6,0.2
03,Bergen,4610,Saddle Brook Twp,1754,1081,61.6,55,3.1,463,26.4,135,7.7,1,0.1,7,0.4,12,0.7,44,16,0,110,133,128,124,116,124,126,148,144,125,124,139.5,126.5,26,14.7,4.5,2.3,0,0,0.2
03,Bergen,4620,Saddle River Boro,149,108,72.5,4,2.7,2,1.3,22,14.8,0,0,0,0,13,8.7,7,13,0,13,20,26,16,32,22,0,0,0,0,0,0,0,0,0.7,0.7,0,0,1.3,0
03,Bergen,4845,South Bergen Jointure Com,352,170,48.3,36,10.2,119,33.8,17,4.8,0,0,5,1.4,5,1.4,21,16,0,9,4,8,3,3,3,4,3,3,3,0,0,8,264,10.2,2.8,1.7,0,0.3,0.9
03,Bergen,4870,South Hackensack Twp,286,69,24.1,20,7,183,64,8,2.8,1,0.3,0,0,5,1.7,0,17,0,32,21,28,31,33,29,40,31,24,0,0,0,0,0,33.6,10.5,21,0,0,0.3
03,Bergen,5150,Teaneck Twp,3627,431,11.9,1206.5,33.3,1454.5,40.1,399,11,30,0.8,16,0.4,90,2.5,0,188,0,182,192,212,206,224,229,238,265,269,282,295,302.5,271.5,271,31.8,8.8,3.2,0,0,0.9
03,Bergen,5160,Tenafly Boro,3660,1918,52.4,53,1.4,268,7.3,1261,34.5,1,0,1,0,158,4.3,3,2,0,157,226,256,273,278,287,284,311,301,310,314,312,308,38,0.8,0.5,5.2,0,0,0
03,Bergen,5330,Upper Saddle River Boro,1099,761,69.2,13,1.2,95,8.6,185,16.8,3,0.3,3,0.3,39,3.5,24,1,0,93,99,124,100,106,137,142,143,120,0,0,0,0,10,0.5,0,2.1,0,0,0
03,Bergen,5410,Waldwick Boro,1616.5,1181.5,73.1,30,1.9,265,16.4,98,6.1,0,0,1,0.1,41,2.5,20,0,0,111,127,119,126,124,126,116,119,122,103,123.5,108,102,70,0,0,3.4,0,0.4,0
03,Bergen,5430,Wallington Boro,1227.5,777.5,63.3,24,2,359,29.2,46,3.7,0,0,0,0,21,1.7,0,0,0,72,79,82,82,92,105,98,106,106,93.5,97,87.5,97.5,30,24.7,6.1,6,0,0,0.6
03,Bergen,5755,Westwood Regional,2788,2013,72.2,79.5,2.9,429.5,15.4,185,6.6,4,0.1,7,0.3,70,2.5,19,0,0,211,201,220,235,209,196,216,211,218,185,202.5,211,190.5,63,5.9,0.8,2.5,0,0.2,0.1
03,Bergen,5830,Wood-Ridge Boro,1213.5,718.5,59.2,47.5,3.9,325.5,26.8,98,8.1,1,0.1,0,0,23,1.9,0,28,0,90,68,88,95,75,78,85,87,77,117.5,103,94,90,38,13.2,3.8,2.5,0,0,0
03,Bergen,5880,Woodcliff Lake Boro,705,590,83.7,6,0.9,38,5.4,69,9.8,0,0,1,0.1,1,0.1,14,4,0,61,66,75,65,99,75,75,86,85,0,0,0,0,0,0.9,0,0.6,0.3,0,0
03,Bergen,5920,Wyckoff Twp,1880,1606,85.4,10,0.5,94,5,104,5.5,0,0,1,0.1,65,3.5,22,0,0,206,176,186,201,187,210,225,219,229,0,0,0,0,19,0.5,0,0.7,0,0,0
05,Burlington,0200,Bass River Twp,93,85,91.4,0,0,6,6.5,0,0,0,0,0,0,2,2.2,5,0,0,10,15,9,9,12,12,21,0,0,0,0,0,0,0,24.7,5.4,0,0,0,0
05,Burlington,0380,Beverly City,312,100,32.1,101,32.4,86,27.6,0,0,2,0.6,0,0,23,7.4,0,45,0,23,31,34,30,22,31,25,25,34,0,0,0,0,12,43.6,9.3,1.9,0,0,0.3
05,Burlington,0475,Bordentown Regional,2433,1621,66.6,306,12.6,293,12,203,8.3,1,0,4,0.2,5,0.2,0,19,0,134,157,175,148,156,185,206,170,214,200,202,183,206,78,6.9,0,2.7,0,0,0.6
05,Burlington,0600,Burlington City,1732,471,27.2,914,52.8,269,15.5,43,2.5,1,0.1,0,0,34,2,0,178,0,137,124,105,109,99,105,105,96,102,130,119,123,118,82,54.3,7.3,4.6,0,0.5,4.3
05,Burlington,0605,Burlington Co Spec Serv,556,234,42.1,204,36.7,80,14.4,17,3.1,1,0.2,1,0.2,19,3.4,0,4,0,4,2,8,5,10,12,7,9,4,13,38,35,58,347,19.6,2.7,0.5,0,3.8,2.5
05,Burlington,0610,Burlington Co Vocational,2109,771,36.6,771,36.6,384,18.2,29,1.4,5,0.2,2,0.1,147,7,0,0,0,0,0,0,0,0,0,0,0,0,498,469,427,398,317,33.3,9.4,0.6,0,2.7,0.2
05,Burlington,0620,Burlington Twp,3690,1385,37.5,1245,33.7,445,12.1,416,11.3,10,0.3,10,0.3,179,4.9,7,40,0,244,235,236,258,250,245,283,325,292,298,306,247,324,100,21.8,5,2.3,0,2.2,1.5
05,Burlington,0830,Chesterfield Twp,760,419,55.1,28,3.7,42,5.5,241,31.7,3,0.4,2,0.3,25,3.3,29,0,0,86,103,99,114,106,109,113,0,0,0,0,0,0,1,1.7,0.8,2.2,0,1.1,0
