CountyCode,CountyName,DistrictCode,DistrictName,EnrollmentChange,EnrollmentChangeNormalized
09,Cape May,5800,Wildwood Crest Borough School District,-15,1217
05,Burlington,5805,Willingboro Public School District,-42,1190
39,Union,5810,Winfield Township,-2,1230
07,Camden,5820,Winslow Township School District,-160,1072
09,Cape May,5840,Woodbine School District,-11,1221
23,Middlesex,5850,Woodbridge Township School District,-53,1179
15,Gloucester,5860,Woodbury City Public School District,-9,1223
15,Gloucester,5870,Woodbury Heights Public School District,-19,1213
03,Bergen,5880,Woodcliff Lake School District,-15,1217
31,Passaic,5690,Woodland Park School District,56,1288
05,Burlington,5890,Woodland Township School District,-17,1215
07,Camden,5900,Woodlynne School District,-3,1229
03,Bergen,5830,Wood-Ridge School District,-22,1210
33,Salem,5910,Woodstown-Pilesgrove Regional School District,-106,1126
03,Bergen,5920,Wyckoff Township Public School District,28,1260
