"County Code","County Name","District Code","District Name","Total Enrollment","White","Black","Hispanic","Asian","Native American","Hawaiian Native","Two Or More Races","%Free Lunch","%Reduced Lunch","Pre-K","Kindergarten","First Grade","Second Grade","Third Grade","Fourth Grade","Fifth Grade","Sixth Grade","Seventh Grade","Eighth Grade","Ninth Grade","Tenth Grade","Eleventh Grade","Twelfth Grade"
"03","Bergen","1580","Franklin Lakes Boro",0.9,-2.1,-15,36.1,6.8,0,0,19,-0.1,0,-36.2,13.7,-6.7,4.5,18.3,-5.3,-0.8,3.3,-9.7,14.7,NA,NA,NA,NA
"03","Bergen","1700","Garfield City",-4.4,-8.2,-1.2,-2,-14.3,0,-10,3,-3.3,-1.6,-19.6,-7.9,-5.7,8.7,-10.1,-4.4,-6.1,-5.2,-3.6,-6.7,5.7,8.6,-8.7,6.8
"03","Bergen","1760","Glen Rock Boro",0.6,-1.3,8.7,13.3,4.4,-50,-50,6.3,-0.1,0,140,-3.1,11.9,-8,-3.3,8.3,-12.9,0.9,13.2,0.5,2.1,-3.6,-18.8,29.2
"03","Bergen","1860","Hackensack City",-4.9,-4.6,-8,-4.2,-0.2,10,-43.8,1.9,-1.3,-0.4,10.3,-9.7,-10.3,-0.3,-1.9,-14.5,-10.7,-2.6,-5.6,14.9,-18.3,-10.8,11.6,-8.9
"03","Bergen","2050","Harrington Park Boro",-6.4,-12.3,66.7,14.3,5,NA,-50,-15.2,0,0,-6.7,-7.8,-14.5,-13,27.3,-34.1,39,-20.3,27.8,-32.9,NA,NA,NA,NA
"03","Bergen","2080","Hasbrouck Heights Boro",-3.2,-4.4,5.8,-1,-6.5,0,-100,15.8,-0.4,-0.5,50,-12.3,-2.5,13.8,-1.8,-1.7,-2.3,-6.9,-3.4,-11.4,0,0.7,-2.5,-4.3
"03","Bergen","2090","Haworth Boro",1.3,0.7,0,-10,14.6,NA,NA,-2.6,0,0,NA,28.9,22.6,-30.6,67.9,-24.4,-28.3,13,-15.7,16.7,NA,NA,NA,NA
"03","Bergen","2180","Hillsdale Boro",-2.5,-3.6,20,-1.9,3.3,0,-25,0,0.0999999999999996,-0.4,-12,5.6,-7.3,10.1,-18.2,11.2,-9.2,-4.9,-3.9,-8,NA,NA,NA,NA
"03","Bergen","2200","Ho Ho Kus Boro",-1.5,-1.2,14.3,-9.1,3.8,0,NA,-40,0,0,-37.5,18,-10.3,-17.4,0,29.4,-17.5,-21.2,6.7,11.9,NA,NA,NA,NA
"03","Bergen","2620","Leonia Boro",2.4,-2.2,-1.3,0.4,6.2,20,0,7.3,-0.199999999999999,-1.3,12.8,-6.7,-1.9,-5,16.8,7.4,-2.7,10.2,-7.7,8.7,2.6,-6.2,15,8.6
"03","Bergen","2710","Little Ferry Boro",-6.1,-6.6,13.9,-7.2,-4.3,-100,-17.6,-20,-6.4,-3.8,-24.1,2.5,13.7,-18.7,25.7,-25.9,-1.1,-10.4,2.2,-14.4,NA,NA,NA,NA
"03","Bergen","2740","Lodi Borough",-2,-4.4,-4.9,-0.2,-3.1,0,-36.8,5.3,-3,-1.2,-1.7,-11.1,-5.9,-2.4,7.6,-16.7,5.6,0.5,1.7,-2.4,2.9,-9.6,4,-1.9
"03","Bergen","2860","Lyndhurst Twp",-4.1,-5.6,-5.8,-1.9,3.8,NA,50,-5.2,-1.3,0,-35.4,-30.7,6.1,9.7,-4.2,-18.5,17.8,-16.1,14,-5.7,-8.5,4,-1.1,-5.9
"03","Bergen","2900","Mahwah Twp",-3.2,-5.3,11.7,-1,1.5,-33.3,0,2.7,0.399999999999999,-0.2,-16.1,-15.3,3.3,-1.1,-15.9,8.3,-3.5,-11.5,4.3,-4.6,14.6,-16.9,-2.5,0
"03","Bergen","3060","Maywood Boro",-2.9,-8.5,-1,2.7,-5.3,50,0,33.3,-1.8,0.5,-11.1,-1.8,-7.9,10.3,-26.9,18.8,-2.1,-16.7,0,18.3,NA,NA,NA,NA
"03","Bergen","3170","Midland Park Boro",-5.6,-5.1,66.7,-11.5,0,0,0,0,0.3,0.3,-37.5,6.1,-23.6,2.8,1.6,-18.1,18.6,-24.3,26.3,0,-4.3,-32.6,-3.5,8.6
